,Full Title,Description,url,Main Image,Images,date,date_short,Latitude,Longitude,location,Sub-Category Name,Sub-Category Link
0,?? Clean Inside & Out – Mobile Detailing That Comes to You!,"Post   ??? Get Your Car Looking BRAND NEW! - Interior/Exterior Detail from $149!  Platinum Detail – Your Car, Our Passion ?? We come to YOU! | ?? Quick. Professional. Affordable.  ?? Platinum Package – $189 Full interior & exterior deep clean, wax, tire shine, grime + pet hair removal. Like driving a new car again!  ?? Silver Interior Only – $149 Full vacuum, leather clean & condition, dash UV-protected & disinfected. Feels FRESH!  ? Fast Booking | ? Trusted Work | ? Satisfaction Guaranteed ?? Call/Text: 617-676-5627 ?? platinumdetails2024@gmail.com ?? Scan to see our work! (Attach the QR image from your flyer)",https://boston.craigslist.org/gbs/aos/d/saugus-clean-inside-out-mobile/7896738630.html,https://images.craigslist.org/00R0R_jIBuR9fTig7_0hT0CI_600x450.jpg,https://images.craigslist.org/00R0R_jIBuR9fTig7_0hT0CI_600x450.jpg,2025-11-18 21:57,11/18,42.467,-71.013,We Come To You!,automotive,https://boston.craigslist.org/search/aos
1,MOBILE MECHANIC! Auto repair!,"Post   Hello , mobile mechanic and auto repair here! I come to you!  Best prices around! The economy is hard and rates are high! Don't throw your money away at the dealership, I will work with your needs!  I will pick up the parts and come to you, I get a huge discount on auto parts  All makes and models  I can take care of all your mechanical needs!  cars, trucks, suv, boats, jet skis, motorcycles trucks, oil changes, brakes, timing belts, etc.  You name it no job too small no job too big. I can come to you or I also have a garage with a lift  I also have 10 years experience in marine/boat mechanic  Don't hesitate to call and ask for a qoute!  603 275 2952  Thankyou",https://boston.craigslist.org/nwb/aos/d/lowell-mobile-mechanic-auto-repair/7896654981.html,https://images.craigslist.org/00101_kdkh6cxwlbs_0dp0t2_600x450.jpg,https://images.craigslist.org/00101_kdkh6cxwlbs_0dp0t2_600x450.jpg,2025-11-18 17:17,11/18,42.612432,-71.334229,Manchester,automotive,https://boston.craigslist.org/search/aos
2,AUTO  BODY WORK AT 1/3 OF DEALERSHIP PRICES.,Post   My name is Steve and I have been doing body work for 30 years and my work is equal to or better than any body shop or car dealership.My colors always match and you can never you can never tell where the car was hit when I'm done. My prices are far below any body shops and I do the best I can for anyone that has had a fender bender and I get people back on the road for an affordable price.If I take job in the morning I can have it done that same day or the next afternoon very seldom do my jobs take over three days.I'll make it happen Call me Steve at 617-319-3587 Location of the garage is at 4 Whiting St.Hingham mass.,https://boston.craigslist.org/gbs/aos/d/accord-auto-body-work-at-3-of/7896651402.html,,,2025-11-18 17:02,11/18,42.174702,-70.885186,HINGHAM,automotive,https://boston.craigslist.org/search/aos
3,Mobile mechanic,"Post   If you  have a spot I have the tools and knowledge I’ll come to you you can be working making money while your car is being worked on saves you the hassle of taking time off or traveling to have your car repaired or save yourself a tow I have ten yrs experience and can do anything I specialize in European vehicles, but all makes and models are welcome. I also can provide indoor service by appointment i can’t store cars it’s big enough for one car and is located right off interstate 93 methuen MA this is my lively hood I take it very serious I don’t cut corners I’m a registered llc I beat shops prices and am a hard working honest guy who wants a strong trusting relationship with my customers I allow you to buy your own parts wich is a huge saving also most shops don’t let you even bring your own parts and up charge them so please understand this is my career and I cannot afford to do things for free but can save you a good chunk and give you a professional service with the latest diagnostic tools and up to date software for more info you can call,text,or email if I don’t answer the call I will call you back shortly I may be under a car or might of just stepped away from my phone for a min hope to hear from you soon!!!",https://boston.craigslist.org/nwb/aos/d/haverhill-mobile-mechanic/7896591550.html,https://images.craigslist.org/00n0n_qfU2rJgOaT_0CI0t2_600x450.jpg,https://images.craigslist.org/00n0n_qfU2rJgOaT_0CI0t2_600x450.jpg,2025-11-18 04:39,11/18,42.8099,-71.102,Haverhill,automotive,https://boston.craigslist.org/search/aos
4,Mobile autobody repair,"Post   Same Day Dent Removal Mobile Service -  We Come To You Save up to 50% of body shop cost We Can Handle All Major Types of Dent Repairs  ??Dents ??Dings ??Scratches ??Scuff marks ?? Plasty dip ?? Rust ?? Holes ?? Chipped paint ?? Faded paint ?? Bumper damage ?? Fender and body damage ?? radiator support ?? paint touch up spot blending ?? fiberglass repair ?? bumper cracks ?? Clearcoat damage ?? Restore and refinishing  ?? parts replacement ?? grill ?? fender ?? headlights ?? bumper ?? Hoods ?? Doors  ?? paint ?? and so much more   We come to you and handle your autobody repair on the spot, so you don’t need to rent a car or get a ride anywhere.  We understand you have a busy schedule – Not everyone has the time to make an additional trip to a shop or to sit for a few hours to have it fixed. We offer our services for people who need their car fixed where ever they are. If you need to schedule a appointment message me on messenger and send pics and I will give you a price.  Through this service, I come to your home or office. Just pick a time, and we’ll arrive with all essential tools call 401-545-4816 for a free estimate",https://boston.craigslist.org/gbs/aos/d/cambridge-mobile-autobody-repair/7896499044.html,https://images.craigslist.org/01414_9KYH09LFFDI_0t20CI_600x450.jpg,https://images.craigslist.org/01414_9KYH09LFFDI_0t20CI_600x450.jpg,2025-11-17 21:49,11/17,42.3647,-71.1042,Cambridge,automotive,https://boston.craigslist.org/search/aos
5,Auto Body & Paint – Dent Repair • TopLine Body Shop,"Post   TopLine Body Shop  • Bodywork • Painting • Dent & Scratch Repair • Bumper • Panel Restoration • Truck Bed  High-quality work • Fast turnaround • Competitive pricing We work with all makes and models. Contact us for a quote.  ?? 978-871-0661 ?? (781) 281-8534 ?? 445 Rantoul St – Beverly, MA Instagram: @toplinebodyshop",https://boston.craigslist.org/nos/aos/d/beverly-auto-body-paint-dent-repair/7896311325.html,https://images.craigslist.org/00T0T_fnOs0Gpqsm2_04w04w_600x450.jpg,https://images.craigslist.org/00T0T_fnOs0Gpqsm2_04w04w_600x450.jpg,2025-11-17 00:58,11/17,42.55871,-70.880184,Beverly,automotive,https://boston.craigslist.org/search/aos
6,Alex’s Auto Diagnostics,Post   Auto Repair  Ball joints Check engine light  Electrical   Brakes Tune up Axle And much much more   Dorchester. Roxbury. Mattapan. Hydepark..  Alex (857) 588-3634,https://boston.craigslist.org/gbs/aos/d/dorchester-center-alexs-auto-diagnostics/7896185700.html,,,2025-11-16 14:28,11/16,42.2973,-71.0745,Dorchester,automotive,https://boston.craigslist.org/search/aos
7,CAR STORAGE AVAILABLE,"Post   ENCLOSED CAR AND YARD STORAGE AVAILABLE, CLEAN AND SAFE, $200.00 PER MONTH. MILLIS MA CALL PETER 617-594-8358",https://boston.craigslist.org/bmw/aos/d/millis-car-storage-available/7896185471.html,https://images.craigslist.org/00606_8Kyx0ah9rRr_0CI0t2_600x450.jpg,https://images.craigslist.org/00606_8Kyx0ah9rRr_0CI0t2_600x450.jpg,2025-11-16 14:25,11/16,42.1669,-71.3607,"MILLIS, MA",automotive,https://boston.craigslist.org/search/aos
8,?? Professional Transport Driver,"Post   Provide professional DRIVER relocation services.   (Your car)  *** NOT on a truck, towing or trailer hauled.  Most trips completed in 3 days!  Save time and money. Have your car quick, not in weeks! Done on YOUR schedule! Stop fighting with brokers and get it fast, guaranteed, and hassle free!   Do you need your car, motorhome or anything else DRIVEN to/from your winter home?   ?? Also provide transport with your family pet! (In your vehicle)  ***NOT trailered,  DRIVEN.  Booking up for the 2026 Spring/Fall season! Book now and secure your return transport.  Moving? Want somebody to drive your U-Haul truck, while towing your car behind it?  Have a college student that needs their car brought to/from campus?  Specialized in military transfers! Can pick up your car on Friday and have to your new home by Sunday!   Best rates available.   I have driven all over the country. Over 18yrs, full time.   Will drive anywhere in US and can even go to Canada*.   Hold a clean and clear license.   Non smoker. No drinking.   Book now and save!  *Note: Based out of NH * *Referral available for tow services within New England.",https://boston.craigslist.org/gbs/aos/d/bradford-professional-transport-driver/7896085164.html,https://images.craigslist.org/01313_1pntMyuEqN4_0t20CI_600x450.jpg,https://images.craigslist.org/01313_1pntMyuEqN4_0t20CI_600x450.jpg,2025-11-15 22:44,11/15,43.2517,-71.9617,BRADFORD- NH,automotive,https://boston.craigslist.org/search/aos
9,Custom metal work.. creative fabrication on all vehicles,Post   This is a 1971 Chevy c10 Cab extended 2 ft. Bed shortened 2 ft All the body mounts line up. The customer wanted to do the finish work because of the hours it took to get this far. That was twenty years ago. Ive since lost the gut.lol Reasonable prices for today's economy.  Google   classic car restorations welding nh    I am looking for a winter build.labor prices are reasonable. The cost to do large scope projects can get expensive with higher labor rates. Labor rates depends on what im fabricating or welding.Sheet metal? plate? Everyone is a body man.,https://boston.craigslist.org/gbs/aos/d/candia-custom-metal-work-creative/7896023459.html,https://images.craigslist.org/00b0b_2xE5bzfVjPM_07K05O_600x450.jpg,https://images.craigslist.org/00b0b_2xE5bzfVjPM_07K05O_600x450.jpg,2025-11-15 19:07,11/15,43.0585,-71.3049,manchester,automotive,https://boston.craigslist.org/search/aos
